UNIDAD OPERATIVA,PROVEEDOR,SERIAL,MARCA,MODELO,TIPO DE EQUIPO,OBSERVACIONES
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443BB,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SKG,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443DV,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443CZ,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443FY,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443F8,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443FZ,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443JK,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443F7,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443BW,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SHD,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443HG,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443G9,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SJN,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SP1,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SL1,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SGJ,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SJ9,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SMM,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SKJ,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
